Question,Option1,Option2,Option3,Option4,Correct Answer,Topic
What is the formula for calculating work?,Work = Force * distance,Work = mass * gravity,Work = power * time,Work = energy / time,Work = Force * distance,Physics
Which of the following is a unit of energy?,Newton,Joule,Watt,Pascal,Joule,Physics
Which type of energy is associated with motion?,Potential Energy,Kinetic Energy,Thermal Energy,Electrical Energy,Kinetic Energy,Physics
What is the unit of power?,Watt,Joule,Newton,Volt,Watt,Physics
"In physics, what is the definition of work?",Displacement in the direction of force,Force multiplied by time,Application of force over a distance,Change in velocity,Application of force over a distance,Physics
Which law of thermodynamics states that energy cannot be created or destroyed?,First Law,Second Law,Third Law,Zeroth Law,First Law,Physics
What is the gravitational potential energy formula?,PE = m * g,PE = 1/2 * m * v^2,PE = F * d,PE = m*g*h,PE = m * h,Physics
Which of the following is a scalar quantity related to energy?,Force,Velocity,Power,Work,Work,Physics
What is the formula for power in terms of work and time?,P = W * t,P = W / t,P = W + t,P = W - t,P = W / t,Physics
Which law of motion is related to the conservation of energy?,Newton's First Law,Newton's Second Law,Newton's Third Law,None of the above,Newton's Third Law,Physics
What is the force that opposes the relative motion or tendency of such motion of two surfaces in contact?,Tension,Friction,Gravity,Magnetic force,Friction,Physics
Which type of friction acts when an object is still and an external force is applied to move it?,Static friction,Dynamic friction,Rolling friction,Kinetic friction,Static friction,Physics
What is the coefficient of friction?,A measure of the force needed to move an object horizontally,A measure of the force needed to lift an object vertically,A measure of the force needed to submerge an object in water,A measure of the force of friction between two objects,A measure of the force of friction between two objects,Physics
Which surface would generally have a higher coefficient of friction?,Smooth surface,Rough surface,Flat surface,Polished surface,Rough surface,Physics
In which direction does the frictional force act on an object moving on a horizontal surface?,Opposite to the motion,In the direction of motion,Normal to the surface,Parallel to the surface,Opposite to the motion,Physics
What is the SI unit of friction?,Newton,Pascal,Joule,Coulomb,Newton,Physics
Which type of friction occurs between the wheels of a car and the road surface?,Static friction,Dynamic friction,Rolling friction,Kinetic friction,Rolling friction,Physics
